"","imputed_IND","imputed_OCC"
"1012","581","268"
"1013","220","633"
"1014","850","153"
"1015","850","153"
"1016","282","783"
"1017","331","785"
"1018","471","875"
"1019","892","195"
"1020","831","174"
"1021","591","337"
"1022","172","365"
"1023","700","383"
"1024","320","57"
"1025","410","337"
"1026","320","796"
"1027","320","796"
"1028","741","426"
"1029","641","276"
"1030","342","164"
"1031","591","264"
"1032","441","527"
"1033","842","95"
"1034","171","278"
"1035","171","278"
"1036","622","263"
"1037","562","29"
"1038","342","518"
"1039","890","337"
"1040","142","519"
"1041","850","19"
"1042","842","156"
"1043","842","444"
"1044","601","243"
"1045","842","157"
"1046","231","727"
"1047","831","447"
"1048","831","453"
"1049","750","507"
"1050","401","808"
"1051","341","19"
"1052","360","579"
"1053","820","85"
"1054","562","313"
"1055","421","226"
"1056","241","633"
"1057","60","844"
"1058","630","264"
"1059","640","243"
"1060","342","33"
"1061","842","19"
"1062","682","243"
"1063","412","355"
"1064","931","227"
"1065","171","278"
"1066","11","473"
"1067","842","157"
"1068","601","274"
"1069","341","166"
"1070","700","383"
"1071","341","19"
"1072","842","156"
"1073","882","55"
"1074","842","157"
"1075","530","259"
"1076","852","164"
"1077","402","809"
"1078","901","313"
"1079","772","458"
"1080","410","804"
"1081","342","708"
"1082","221","745"
"1083","762","449"
"1084","641","438"
"1085","641","276"
"1086","592","243"
"1087","641","19"
"1088","850","119"
"1089","860","159"
"1090","60","567"
"1091","280","777"
"1092","641","444"
"1093","892","183"
"1094","891","53"
"1095","842","155"
"1096","892","188"
"1097","271","873"
"1098","320","57"
"1099","320","313"
"1100","711","19"
"1101","712","254"
"1102","901","5"
"1103","880","453"
"1104","591","526"
"1105","221","745"
"1106","252","889"
"1107","60","558"
"1108","842","387"
"1109","60","558"
"1110","470","713"
"1111","161","878"
"1112","831","348"
"1113","271","777"
"1114","441","348"
"1115","362","55"
"1116","322","19"
"1117","812","207"
"1118","842","155"
"1119","762","435"
"1120","242","785"
"1121","242","313"
"1122","60","567"
"1123","842","468"
"1124","591","264"
"1125","711","19"
"1126","711","379"
"1127","211","756"
"1128","550","276"
"1129","292","777"
"1130","351","453"
"1131","831","449"
"1132","620","453"
"1133","831","444"
"1134","362","785"
"1135","362","769"
"1136","221","745"
"1137","850","469"
"1138","842","167"
"1139","850","164"
"1140","221","745"
"1141","221","745"
"1142","360","57"
"1143","612","505"
"1144","342","796"
"1145","30","79"
"1146","641","19"
"1147","842","157"
"1148","712","19"
"1149","60","558"
"1150","221","745"
"1151","831","433"
"1152","831","453"
"1153","910","417"
"1154","831","444"
"1155","740","19"
"1156","831","319"
"1157","700","344"
"1158","230","496"
"1159","230","496"
"1160","390","785"
"1161","412","354"
"1162","852","453"
"1163","802","275"
"1164","60","216"
"1165","700","19"
"1166","601","276"
"1167","761","406"
"1168","60","558"
"1169","812","85"
"1170","842","156"
"1171","410","318"
"1172","641","19"
"1173","412","354"
"1174","712","633"
"1175","600","264"
"1176","891","19"
"1177","842","157"
"1178","880","177"
"1179","641","443"
"1180","272","709"
"1181","212","888"
"1182","812","84"
"1183","812","19"
"1184","632","266"
"1185","551","28"
"1186","10","479"
"1187","752","257"
"1188","342","55"
"1189","342","313"
"1190","120","534"
"1191","390","777"
"1192","160","426"
"1193","211","889"
"1194","160","519"
"1195","591","275"
"1196","211","777"
"1197","160","364"
"1198","160","766"
"1199","171","736"
"1200","360","53"
"1201","842","164"
"1202","832","449"
"1203","60","599"
"1204","890","23"
"1205","890","313"
"1206","932","365"
"1207","612","505"
"1208","842","436"
"1209","630","264"
"1210","60","599"
"1211","842","156"
"1212","601","877"
"1213","500","805"
"1214","421","318"
"1215","761","407"
"1216","592","276"
"1217","221","33"
"1218","831","313"
"1219","601","243"
"1220","901","5"
"1221","771","747"
"1222","220","633"
"1223","621","276"
"1224","550","259"
"1225","922","27"
"1226","702","25"
"1227","901","313"
"1228","402","809"
"1229","712","19"
"1230","641","435"
"1231","60","575"
"1232","682","274"
"1233","341","55"
"1234","712","313"
"1235","401","808"
"1236","852","164"
"1237","172","737"
"1238","342","796"
"1239","401","887"
"1240","412","354"
"1241","342","796"
"1242","831","447"
"1243","910","418"
"1244","591","264"
"1245","612","505"
"1246","831","163"
"1247","621","885"
"1248","881","389"
"1249","871","65"
"1250","171","275"
"1251","60","599"
"1252","711","73"
"1253","852","164"
"1254","171","736"
"1255","711","65"
"1256","682","274"
"1257","331","579"
"1258","770","468"
"1259","60","567"
"1260","350","356"
"1261","530","243"
"1262","530","243"
"1263","842","156"
"1264","850","154"
"1265","20","86"
"1266","20","319"
"1267","601","877"
"1268","30","79"
"1269","60","575"
"1270","842","436"
"1271","60","865"
"1272","842","157"
"1273","802","438"
"1274","621","313"
"1275","421","226"
"1276","421","226"
"1277","172","453"
"1278","850","365"
"1279","772","458"
"1280","390","744"
"1281","832","453"
"1282","341","683"
"1283","151","744"
"1284","320","19"
"1285","412","354"
"1286","320","779"
"1287","60","453"
"1288","831","744"
"1289","632","566"
"1290","601","888"
"1291","231","855"
"1292","212","518"
"1293","160","888"
"1294","761","407"
"1295","842","156"
"1296","761","406"
"1297","242","804"
"1298","632","243"
"1299","352","637"
"1300","360","337"
"1301","441","527"
"1302","580","268"
"1303","222","23"
"1304","770","469"
"1305","741","426"
"1306","352","637"
"1307","762","444"
"1308","142","738"
"1309","672","804"
"1310","712","16"
"1311","10","479"
"1312","932","313"
"1313","320","644"
"1314","151","744"
"1315","271","313"
"1316","11","473"
"1317","672","804"
"1318","842","157"
"1319","660","243"
"1320","660","274"
"1321","660","274"
"1322","400","825"
"1323","591","264"
"1324","60","567"
"1325","761","406"
"1326","612","243"
"1327","842","104"
"1328","612","887"
"1329","60","575"
"1330","831","206"
"1331","111","19"
"1332","111","444"
"1333","342","683"
"1334","342","56"
"1335","921","5"
"1336","842","157"
"1337","842","155"
"1338","470","366"
"1339","842","156"
"1340","842","156"
"1341","121","806"
"1342","842","276"
"1343","641","444"
"1344","391","7"
"1345","700","19"
"1346","410","804"
"1347","171","734"
"1348","592","274"
"1349","390","777"
"1350","401","808"
"1351","342","889"
"1352","160","777"
"1353","761","406"
"1354","331","634"
"1355","831","449"
"1356","641","434"
"1357","60","865"
"1358","342","887"
"1359","761","406"
"1360","641","444"
"1361","842","157"
"1362","842","453"
"1363","772","458"
"1364","641","276"
"1365","641","435"
"1366","682","276"
"1367","711","19"
"1368","700","27"
"1369","152","889"
"1370","320","259"
"1371","171","313"
"1372","712","16"
"1373","762","435"
"1374","842","157"
"1375","60","558"
"1376","60","865"
"1377","230","496"
"1378","850","449"
"1379","622","509"
"1380","60","567"
"1381","671","277"
"1382","231","856"
"1383","592","276"
"1384","812","84"
"1385","530","804"
"1386","142","637"
"1387","762","453"
"1388","391","19"
"1389","60","567"
"1390","842","453"
"1391","10","479"
"1392","10","479"
"1393","711","253"
"1394","842","157"
"1395","60","804"
"1396","762","436"
"1397","230","496"
"1398","230","496"
"1399","471","518"
"1400","601","276"
"1401","850","487"
"1402","591","264"
"1403","761","407"
"1404","342","525"
"1405","11","473"
"1406","60","783"
"1407","560","883"
"1408","601","877"
"1409","601","274"
"1410","612","243"
"1411","711","315"
"1412","831","453"
"1413","362","315"
"1414","550","804"
"1415","60","567"
"1416","771","748"
"1417","771","748"
"1418","60","575"
"1419","842","163"
"1420","101","688"
"1421","842","436"
"1422","880","176"
"1423","101","507"
"1424","850","426"
"1425","682","243"
"1426","831","105"
"1427","682","19"
"1428","412","354"
"1429","60","516"
"1430","401","808"
"1431","352","777"
"1432","842","156"
"1433","842","387"
"1434","242","633"
"1435","601","29"
"1436","842","157"
"1437","460","19"
"1438","842","313"
"1439","812","315"
"1440","552","243"
"1441","711","253"
"1442","672","19"
"1443","630","264"
"1444","60","235"
"1445","471","694"
"1446","610","687"
"1447","521","19"
"1448","521","313"
"1449","802","224"
"1450","722","453"
"1451","762","449"
"1452","60","573"
"1453","630","243"
"1454","842","575"
"1455","721","185"
"1456","842","14"
"1457","700","383"
"1458","910","337"
"1459","601","243"
"1460","842","313"
"1461","342","796"
"1462","591","264"
"1463","702","376"
"1464","231","878"
"1465","771","747"
"1466","842","156"
"1467","342","796"
"1468","441","55"
"1469","601","243"
"1470","281","777"
"1471","712","19"
"1472","742","774"
"1473","60","558"
"1474","280","777"
"1475","280","777"
"1476","641","444"
"1477","791","189"
"1478","621","887"
"1479","391","19"
"1480","342","796"
"1481","831","95"
"1482","762","319"
"1483","60","19"
"1484","620","263"
"1485","850","19"
"1486","460","774"
"1487","802","459"
"1488","802","199"
"1489","711","253"
"1490","842","337"
"1491","682","888"
"1492","850","426"
"1493","60","865"
"1494","262","769"
"1495","850","365"
"1496","770","175"
"1497","921","23"
"1498","671","277"
"1499","640","243"
"1500","860","387"
