"","ind_70_final","ind_80","occ_70_final","occ_80"
"25844",208,342,690,777
"96869",788,780,935,457
"101829",838,831,391,315
"12808",77,60,751,869
"70369",647,620,445,514
"24256",199,340,644,759
"109327",857,842,144,157
"91776",769,761,984,407
"84414",468,462,265,253
"56617",527,550,705,806
"46872",397,222,602,785
"67982",628,601,762,877
"76172",669,641,230,19
"36852",317,142,663,744
"49037",409,402,714,809
"6958",67,60,415,567
"117661",878,871,391,315
"6817",67,60,415,567
"97220",798,791,191,189
"75884",669,641,916,444
"119267",889,890,1,23
"118564",809,802,915,435
"100423",838,831,75,95
"46207",379,211,454,703
"84438",717,711,265,253
"126674",937,901,715,804
"120265",907,412,441,307
"74325",758,752,482,526
"58340",537,521,705,805
"24805",207,341,141,159
"25263",207,341,602,683
"123569",917,932,222,5
"117351",877,880,903,453
"20068",168,300,694,777
"29527",227,352,454,634
"124886",927,931,215,36
"33541",268,100,633,686
"53993",467,460,334,366
"80426",697,682,785,889
"13976",108,231,621,644
"4685",47,40,430,575
"65160",619,671,264,277
"121490",917,900,395,379
"10537",69,60,321,376
"20154",168,300,522,585
"43530",347,192,461,637
"115321",858,850,964,418
"61419",607,521,284,268
"11528",69,60,410,563
"74593",669,641,913,444
"19303",158,282,220,19
"65759",628,601,375,328
"121144",907,412,492,538
"114960",858,850,911,443
"24767",207,341,602,785
"38602",319,151,663,744
"122265",917,932,222,5
"80020",688,672,231,13
"121897",917,901,216,16
"17693",147,271,656,706
"56436",509,542,282,259
"31984",249,381,152,217
"35431",269,101,220,19
"121797",917,921,215,36
"85805",717,711,370,313
"12630",77,60,751,869
"81538",707,700,202,7
"73589",667,632,284,266
"79405",678,650,762,877
"99239",828,812,65,84
"21282",179,312,152,217
"63746",609,591,283,265
"112860",857,842,310,276
"54229",467,460,13,56
"31493",239,371,245,19
"93903",777,762,376,314
"73021",657,630,283,264
"104515",839,832,925,447
"107709",857,842,916,444
"7689",68,60,436,856
"38641",319,151,611,747
"4947",48,41,481,516
"90940",757,751,473,505
"8926",68,60,436,844
"41606",338,171,314,275
"35395",289,120,604,754
