Index,IND.1971.1982,IND.1983.1991,IND.1992.2002,IND.2003.2008,IND.2009.2013,IND.2014.2019,IND.2020.
521,587,562,562,4585,4585,4585,4585
522,508,562,562,4585,4585,4585,4585
523,588,571,571,4590,4590,4590,4590
524,639,612,612,4670,4670,4670,4670
525,649,622,622,4680,4680,4680,4680
526,747,741,740,4690,4690,4690,4690
527,647,620,620,4690,4690,4690,4690
528,697,682,682,4690,4690,4690,4690
529,627,632,631,4770,4770,4770,4770
530,667,632,631,4770,4770,4770,4770
531,697,682,682,4770,4770,4770,4770
532,627,632,632,4780,4780,4780,4780
533,759,752,752,4780,4780,4780,4780
534,668,640,632,4780,4780,4780,4780
535,667,632,632,4780,4780,4780,4780
536,758,752,752,4780,4780,4780,4780
537,697,682,682,4790,4790,4795,4795
538,758,752,752,4790,4790,4795,4795
539,668,640,633,4790,4790,4795,4795
540,609,662,663,4790,4790,4795,4795
541,759,752,752,4790,4790,4795,4795
542,607,580,580,4870,4870,4870,4870
543,627,632,632,4870,4870,4870,4870
544,668,640,632,4870,4870,4870,4870
545,608,581,581,4870,4870,4870,4870
546,667,632,632,4870,4870,4870,4870
547,679,581,581,4870,4870,4870,4870
548,679,581,581,4880,4880,4880,4880
549,607,580,580,4880,4880,4880,4880
550,608,581,581,4880,4880,4880,4880
551,608,581,581,4890,4890,4890,4890
552,608,582,582,4890,4890,4890,4890
553,679,561,561,4890,4890,4890,4890
554,679,582,582,4890,4890,4890,4890
555,679,581,581,4890,4890,4890,4890
556,587,561,561,4890,4890,4890,4890
557,628,601,601,4970,4970,4970,4971
558,628,601,601,4970,4970,4970,4972
559,629,602,602,4970,4970,4970,4971
560,629,602,602,4970,4970,4970,4972
561,637,610,610,4980,4980,4980,4980
562,638,611,611,4980,4980,4980,4980
563,619,671,671,4980,4980,4980,4980
564,629,602,602,4980,4980,4980,4980
565,678,650,650,4990,4990,4990,4990
566,677,642,642,5070,5070,5070,5070
567,638,611,611,5080,5080,5080,5080
568,697,682,682,5080,5080,5080,5080
569,677,642,642,5080,5080,5080,5080
570,648,621,621,5090,5090,5090,5090
571,669,641,641,5090,5090,5090,5090
572,657,630,623,5170,5170,5170,5170
573,697,630,623,5170,5170,5170,5170
574,658,631,630,5180,5180,5180,5180
575,697,630,623,5190,5190,5190,5190
576,657,630,623,5190,5190,5190,5190
577,687,660,660,5190,5190,5190,5190
578,759,760,760,5270,5270,5275,5275
579,657,630,623,5270,5270,5275,5275
580,697,630,623,5270,5270,5275,5275
581,697,651,651,5270,5270,5275,5275
582,667,632,632,5280,5280,5280,5280
583,667,632,631,5280,5280,5280,5280
584,627,661,662,5280,5280,5280,5280
585,627,632,632,5280,5280,5280,5280
586,627,632,631,5280,5280,5280,5280
587,668,640,632,5280,5280,5280,5280
588,668,640,640,5290,5290,5295,5295
589,668,640,633,5290,5290,5295,5295
590,697,682,682,5370,5370,5370,5370
591,697,652,652,5370,5370,5370,5370
592,609,591,591,5380,5380,5380,5381
593,609,591,591,5380,5380,5380,5391
594,628,601,601,5390,5390,5390,5391
595,617,592,592,5390,5390,5390,5391
596,627,600,600,5390,5390,5390,5391
597,689,681,681,5470,5470,5470,5470
598,697,682,682,5480,5480,5480,5480
599,697,652,652,5480,5480,5480,5480
600,697,630,623,5490,5490,5490,5490
601,697,682,682,5490,5490,5490,5490
602,657,630,623,5490,5490,5490,5490
603,697,682,682,5570,5570,5570,5570
604,697,682,661,5570,5570,5570,5570
605,678,650,650,5580,5580,5580,5580
606,697,651,651,5580,5580,5580,5580
607,697,682,682,5580,5580,5580,5580
608,798,742,741,5580,5580,5580,5580
609,738,742,741,5580,5580,5580,5580
610,649,590,590,5580,5580,5580,5580
611,748,742,741,5580,5580,5580,5580
612,897,742,741,5580,5580,5580,5580
613,609,662,663,5590,5590,5590,5593
614,609,662,663,5591,5591,5591,5593
615,609,662,663,5592,5592,5592,5593
616,618,670,670,5670,5670,5670,5670
617,688,672,672,5680,5680,5680,5680
618,619,671,671,5690,5690,5690,5690
619,638,611,611,5690,5690,5690,5690
620,698,691,691,5790,5790,5790,5790
621,427,421,421,6070,6070,6070,6070
622,407,400,400,6080,6080,6080,6080
623,419,420,420,6090,6090,6090,6090
624,418,411,411,6170,6170,6170,6170
625,417,410,410,6170,6170,6170,6170
626,408,401,401,6180,6180,6180,6180
